0.440,0,CeTCCC_ImmediateOff,4.0582693223,-0.027194577,600,14.6997070313,1.6019215584,0.4901960784,0.5001084805,-1,1832,1832,1832,Normal,1,0,1832,599.8125,0,0,7,576.5,Range_Shift_Completed,0,0,4704.0576412752,4730.4930398562,22.875,7.3303604748,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0841218915,14.6479962963,63.5294117647,3769.46,0,0,1,100,0,0,-1.1295166016,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.633553814,8.6855141849,-586.34765625,9.4117647059,1.3096117268,0,0,0,14.5037743897,4706.4747894668,4704.5260681283,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.453,0,CeTCCC_ImmediateOff,4.0545256235,-0.027194577,600.25,14.6997070313,1.6074807599,0.4901960784,0.5001580656,-1,1832,1832,1832,Normal,1,0,1832,600.25,0,0,7,576.5,Range_Shift_Completed,0,0,4703.997703141,4721.8197827712,23.375,7.3577470779,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0841218915,14.6444610013,63.5294117647,3767.12,0,0,1,100,0,0,-1.1289876302,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.6191716476,8.6791165143,-586.34765625,9.4117647059,1.3096513843,0,0,0,14.5037743897,4706.4747894668,4704.8500371884,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.465,0,CeTCCC_ImmediateOff,4.050033185,-0.027194577,600.25,14.6997070313,1.6141518017,0.4901960784,0.500356406,-1,1832,1832,1832,Normal,1,0,1832,600.25,0,0,7,576.5,Range_Shift_Completed,0,0,4704.4914864004,4706.4747894668,23.215,7.3541658626,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0841218915,14.6411976521,63.5294117647,3764.96,0,0,1,100,0,0,-1.128499349,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.6058958017,8.6732109721,-586.34765625,9.4117647059,1.3096879912,0,0,0,14.5037743897,4706.4747894668,4705.1490855517,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.478,0,CeTCCC_ImmediateOff,4.0451663765,-0.027194577,600.25,14.6997070313,1.6313853264,0.4901960784,0.5005712748,-1,1832,1832,1832,Normal,1,0,1832,600.25,0,0,7,578,Range_Shift_Completed,0,0,4705.2971987758,4707.8363682871,23.375,7.3386472627,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0841218915,14.6352148451,63.5294117647,3761,0,0,1,100,0,0,-1.1279703776,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5915136353,8.6668133015,-586.339637555,9.4117647059,1.3097276487,0,0,0,14.5037743897,4706.4747894668,4705.4730546118,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.490,0,CeTCCC_ImmediateOff,4.0384277187,-0.027194577,599.75,14.6997070313,1.6280498055,0.4901960784,0.5009348989,-1,1832,1832,1832,Normal,1,0,1832,600,0,0,7,577.88,Range_Shift_Completed,0,0,4707.1565350266,4716.0058412087,23.375,7.3243224013,1832,0,63.5294117647,63.5294117647,63.5294117647,0.084307046,14.6352148451,63.5294117647,3761.42,0,0,1,100,0,0,-1.1274820964,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5782377894,8.6609077593,-586.330015121,9.4117647059,1.3097642557,0,0,0,14.5037743897,4706.4747894668,4705.772102975,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.503,0,CeTCCC_ImmediateOff,4.0409354769,-0.0282823601,600,14.6997070313,1.6280366008,0.4901960784,0.5008859718,-1,1832,1832,1832,Normal,1,0,1832,600.0760869565,0,0,7,578,Range_Shift_Completed,0,0,4706.8466456515,4724.8561035404,23.125,7.2968664169,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0851093825,14.6352148451,63.5294117647,3763.24,0,0,1,100,0,0,-1.126953125,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5538987386,8.6545100887,-586.3195908174,9.4117647059,1.3098039132,0,0,0,14.5037743897,4706.4747894668,4706.0960720352,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.515,0,CeTCCC_ImmediateOff,4.045234491,-0.0326334924,600.25,14.6997070313,1.6222959285,0.4901960784,0.5006902635,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,578,Range_Shift_Completed,0,0,4706.6666099388,4739.8334705632,23.205,7.2980914307,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0870226463,14.6352148451,63.5294117647,3764.92,0,0,1,100,0,0,-1.1264648438,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5533795726,8.6486045465,-586.3099683834,9.4117647059,1.3098405201,0,0,0,14.5037743897,4706.6475187271,4706.3951203984,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.528,0,CeTCCC_ImmediateOff,4.0498917563,-0.0373472191,599.75,14.6997070313,1.608422637,0.4901960784,0.5004782462,-1,1832,1832,1832,Normal,1,0,1832,599.82,0,0,7,577.25,Range_Shift_Completed,0,0,4705.7567490615,4739.2243120388,23.125,7.3060540199,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0866523372,14.6352148451,63.5294117647,3768,0,0,1,100,0,0,-1.1259358724,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5511298533,8.6422068759,-586.2995440799,9.4117647059,1.3098801777,0,0,0,14.5037743897,4706.9683016389,4706.7190894585,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.541,0,CeTCCC_ImmediateOff,4.0556237752,-0.045324295,600,14.6997070313,1.6098578051,0.4901960784,0.5001194477,-1,1832,1832,1832,Normal,1,0,1832,600.25,0,0,7,577.28,Range_Shift_Completed,0,0,4703.6570701137,4736.5846250999,23.125,7.3140166092,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0852310036,14.6352148451,63.5294117647,3769.76,0,0,1,100,0,0,-1.125406901,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.548880134,8.6318721771,-586.2891197764,9.4117647059,1.3099198352,0,0,0,14.5037743897,4707.2890845507,4707.0430585187,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.553,0,CeTCCC_ImmediateOff,4.0663615842,-0.0434206746,600.25,14.6997070313,1.6063227934,0.4901960784,0.5002082431,-1,1832,1832,1832,Normal,1,0,1832,600.0961538462,0,0,7,577.25,Range_Shift_Completed,0,0,4704.007016605,4734.1479910024,22.125,7.3274917603,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0821596161,14.6352148451,63.5294117647,3775.04,0,0,1,100,0,0,-1.1249186198,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.54680347,8.6319293217,-586.2794973424,9.4117647059,1.3100113525,0,0,0,14.5037743897,4707.585191854,4707.3421068819,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.565,0,CeTCCC_ImmediateOff,4.0806786628,-0.035806193,600,14.6997070313,1.603523002,0.4901960784,0.5005634248,-1,1832,1832,1832,Normal,1,0,1832,600.29,0,0,7,577.25,Range_Shift_Completed,0,0,4704.3058231208,4729.6808284904,22.4583333333,7.3224810993,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0739692494,14.6352148451,63.5294117647,3780.32,0,0,1,100,0,0,-1.1244303385,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.544726806,8.6321007553,-586.2698749084,9.4117647059,1.3099930491,0,0,0,14.5037743897,4707.8812991572,4707.6411552451,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.577,0,CeTCCC_ImmediateOff,4.0949957415,-0.0281917115,600.5,14.6997070313,1.5965235233,0.4901960784,0.5009186065,-1,1832,1832,1832,Normal,1,0,1832,600.5,0,0,7,576.5,Range_Shift_Completed,0,0,4705.4179711329,4729.6808284904,22.245,7.2924171336,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0760168411,14.6352148451,63.5294117647,3790,0,0,1,100,0,0,-1.1239420573,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.542650142,8.6322721889,-586.2602524743,9.4117647059,1.3099386345,0,0,0,14.5037743897,4708.1774064604,4707.9402036083,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.590,0,CeTCCC_ImmediateOff,4.1164713595,-0.0135972885,600.5,14.6997070313,1.5976901031,0.4901960784,0.5015993714,-1,1832,1832,1832,Normal,1,0,1832,600.5,0,0,7,576.5714285714,Range_Shift_Completed,0,0,4708.3836991653,4729.6808284904,22.875,7.2598478373,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0739692494,14.6360306824,63.5294117647,3788.86,0,0,1,100,0,0,-1.1234130859,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5404004227,8.6324579087,-586.2498281708,9.4117647059,1.3097810789,0,0,0,14.5037743897,4708.4981893723,4708.2641726685,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.603,0,CeTCCC_ImmediateOff,4.1080488013,-0.0144131258,600.5,14.6997070313,1.5977118794,0.4901960784,0.5015582263,-1,1832,1832,1832,Normal,1,0,1832,600.5,0,0,7,577.25,Range_Shift_Completed,0,0,4707.8276251592,4729.6808284904,22.8269230769,7.1997199059,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0739692494,14.6395659775,63.5294117647,3783.92,0,0,1,100,0,0,-1.1228841146,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5381507034,8.6326436285,-586.2394038673,9.4117647059,1.3096235232,0,0,0,14.5037743897,4708.8189722841,4708.5881417286,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.615,0,CeTCCC_ImmediateOff,4.0954149639,-0.017676475,600.5,14.6997070313,1.5994944135,0.4901960784,0.501393646,-1,1832,1832,1832,Normal,1,0,1832,600.4038461538,0,0,7,577.19,Range_Shift_Completed,0,0,4708.160552258,4729.6808284904,22.625,7.202446123,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0739692494,14.6428293267,63.5294117647,3779.36,0,0,1,100,0,0,-1.1223958333,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5360740394,8.6328150621,-586.2297814333,9.4117647059,1.3094780872,0,0,0,14.5037743897,4709.1150795873,4708.8871900918,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.628,0,CeTCCC_ImmediateOff,4.0817283067,-0.02121177,600,14.6997070313,1.6038022041,0.4901960784,0.5012153506,-1,1832,1832,1832,Normal,1,0,1832,600,0,0,7,576.5,Range_Shift_Completed,0,0,4707.6770672922,4729.2072358573,23.25,7.2378869454,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0739692494,14.6488121336,63.5294117647,3771,0,0,1,100,0,0,-1.121866862,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5338243201,8.6330007819,-586.2193571298,9.4117647059,1.3093205315,0,0,0,14.5037743897,4709.4358624992,4709.211159152,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.640,0,CeTCCC_ImmediateOff,4.0648831902,-0.027194577,600.5,14.6997070313,1.6032080261,0.4901960784,0.50091362,-1,1832,1832,1832,Normal,1,0,1832,600.12,0,0,7,576.5865384615,Range_Shift_Completed,0,0,4706.5241416044,4726.3656800585,23.0416666667,7.2706015507,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0745380249,14.6479962963,63.5294117647,3771.6,0,0,1,100,0,0,-1.1213785807,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5317476562,8.6331722155,-586.2097346957,9.4117647059,1.3091750955,0,0,0,14.5037743897,4709.7319698024,4709.5102075152,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.653,0,CeTCCC_ImmediateOff,4.0694994,-0.0263787397,600.75,14.6997070313,1.6217686692,0.4901960784,0.5009083807,-1,1832,1832,1832,Normal,1,0,1832,600.75,0,0,7,578,Range_Shift_Completed,0,0,4706.7472885117,4723.2873279431,23.375,7.3305783272,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0760168411,14.6444610013,63.5294117647,3774.2,0,0,1,100,0,0,-1.1208496094,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5294979368,8.6333579353,-586.1993103922,9.4117647059,1.3090175398,0,0,0,14.5037743897,4710.0527527142,4709.8341765754,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.665,0,CeTCCC_ImmediateOff,4.0756543464,-0.0231153904,600.5,14.6997070313,1.645723956,0.4901960784,0.5008874238,-1,1832,1832,1832,Normal,1,0,1832,600.7115384615,0,0,7,577.875,Range_Shift_Completed,0,0,4706.5041586102,4718.0778089786,23.335,7.328397246,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0773819022,14.6411976521,63.5294117647,3776.6,0,0,1,100,0,0,-1.1203613281,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5274212729,8.6335293689,-586.1896879582,9.4117647059,1.3088721038,0,0,0,14.5037743897,4710.3488600174,4710.1332249386,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.677,0,CeTCCC_ImmediateOff,4.0818092928,-0.0198520412,600.5,14.6997070313,1.7016196251,0.4901960784,0.5008664668,-1,1832,1832,1832,Normal,1,0,1832,600.5,0,0,7,578,Range_Shift_Completed,0,0,4706.4641926217,4717.2246457792,23.375,7.3196729211,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0797707591,14.6352148451,63.5294117647,3781,0,0,1,100,0,0,-1.1198730469,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.5253446089,8.6337008026,-586.1800655242,9.4117647059,1.3087266678,0,0,0,14.5037743897,4710.6449673207,4710.4322733018,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
